Test1,Test2,Test3,Test4,Test5,Test6,Test7,Test8,Test9,Test10,Test11,Test12,Test13,Test14,Test15,Test16,Test17,Test18,Test19,Test20
53.01,57.62,53.24,93.95,37.08,86.92,62.27,62.52,55.93,61.47,54.85,69.42,63.96,40.23,108.83,64.85,80.08,80.87,74.82,73.45
53.01,57.62,53.24,93.95,37.08,86.92,62.27,62.52,55.93,61.47,54.85,69.42,63.96,40.23,108.83,64.85,79.80,80.87,74.82,73.45
14.72,55.92,52.52,91.44,35.35,44.32,29.02,60.69,54.98,57.48,51.58,67.66,51.87,40.23,46.25,63.75,77.05,44.14,74.82,73.45
14.72,55.92,52.30,91.44,35.35,44.32,29.02,60.69,54.98,57.48,51.58,67.66,51.87,40.23,46.25,63.75,76.76,44.14,33.16,31.47
14.72,55.92,52.30,91.44,35.10,44.32,29.02,60.69,54.98,57.48,51.58,67.66,51.87,40.23,46.25,63.75,76.76,44.14,33.16,31.47
14.72,55.92,52.30,91.44,34.92,44.32,29.02,60.69,54.98,57.48,51.24,67.66,51.87,40.23,46.25,62.95,76.76,44.14,33.16,31.47
14.72,55.92,52.30,91.44,34.64,44.32,29.02,60.69,54.98,57.48,51.24,67.66,51.87,40.23,46.25,62.95,76.76,44.14,33.16,31.47
14.72,55.92,52.30,91.41,33.74,44.32,29.02,60.69,54.98,57.36,50.83,67.66,51.87,40.23,46.25,62.87,76.42,44.14,33.16,31.47
14.72,55.92,52.30,91.41,33.74,44.32,29.02,60.69,54.98,57.13,50.83,67.66,51.87,40.23,46.25,62.87,76.42,44.14,33.16,31.47
14.72,55.92,52.30,89.93,33.17,44.32,29.02,60.69,54.98,57.13,50.83,67.66,51.87,40.23,46.25,62.87,76.42,44.14,33.16,31.47
14.72,55.69,52.30,89.77,33.16,44.32,29.02,60.69,54.98,57.13,50.83,67.66,51.87,40.23,46.25,62.87,76.42,44.14,33.16,31.47
14.72,55.69,52.30,89.77,33.16,44.32,29.02,60.69,54.98,56.76,50.83,67.66,51.87,40.23,46.25,62.87,76.28,44.14,33.16,31.47
14.72,55.69,52.30,89.77,31.94,44.32,29.02,59.73,54.98,56.76,50.26,67.66,51.87,40.23,46.25,62.87,76.12,44.14,33.16,31.47
10.26,52.39,48.50,89.72,31.78,44.32,27.80,58.70,54.98,55.71,49.29,21.08,47.94,26.53,46.25,61.47,73.28,40.19,20.81,11.77
10.26,52.39,48.50,89.72,31.78,44.32,27.80,58.70,38.15,55.71,49.29,21.08,47.94,26.53,46.25,60.92,72.61,40.19,20.81,11.77
10.26,52.39,48.50,89.06,31.78,44.32,27.80,58.70,35.45,55.40,48.19,21.08,47.94,19.77,46.25,60.92,72.61,40.19,20.81,11.77
10.26,52.39,48.50,89.06,31.20,44.32,27.80,58.70,35.45,54.84,48.19,21.08,47.94,19.77,46.25,60.92,72.61,40.19,20.81,11.77
