Gen,hypercube0,hypercube1,hypercube2,hypercube3
146,0.099714653,0.235885006,0.421170891,0.227521641
147,0.095957228,0.230971889,0.421170891,0.223757536
148,0.093964183,0.23325062,0.414213212,0.222480739
149,0.09356737,0.228334479,0.414213212,0.222480739
150,0.092800921,0.22828427,0.414213212,0.221222969
151,0.09356737,0.226499867,0.414181997,0.220019958
152,0.088147413,0.226499867,0.414181997,0.219719737
153,0.0877506,0.226496843,0.414181997,0.215241118
154,0.086984151,0.226496843,0.414181997,0.216517915
155,0.086984151,0.226123741,0.409193551,0.219278917
156,0.086668855,0.222079549,0.413890801,0.215007725
157,0.086668855,0.222079549,0.40556677,0.215007725
158,0.079998224,0.221717881,0.401171588,0.213730928
159,0.080266894,0.221021898,0.40556677,0.213730928
160,0.079951598,0.221024922,0.400578325,0.213730928
161,0.079697777,0.219418159,0.398902111,0.212813447
162,0.079697777,0.215373966,0.398902111,0.212100246
163,0.076570889,0.21394019,0.393806367,0.208768244
164,0.077103024,0.208396221,0.391935856,0.208768244
165,0.073722316,0.213990399,0.389518482,0.207137563
166,0.074654351,0.208396221,0.386840112,0.203428039
167,0.072328267,0.207949293,0.386840112,0.2067808
168,0.071456001,0.207949522,0.38694741,0.201797358
169,0.071456001,0.204982365,0.386822345,0.199809915
170,0.071456001,0.207148089,0.38247932,0.199809915
171,0.071456001,0.203246736,0.38247932,0.20079328
172,0.071450531,0.203246736,0.38247932,0.198805836
173,0.068827788,0.199385952,0.380415565,0.197166505
174,0.068648572,0.19983288,0.375584405,0.192816523
175,0.068648572,0.198108553,0.367918181,0.19354838
176,0.068648572,0.197658602,0.367616345,0.191914057
177,0.068648572,0.192620747,0.367616345,0.190003474
178,0.068057737,0.192620747,0.364062948,0.190003474
179,0.068360885,0.192617723,0.362180249,0.179725525
180,0.06550613,0.186849156,0.362180249,0.179871889
181,0.065250307,0.182337404,0.351967263,0.179871889
182,0.065250307,0.182337404,0.357410323,0.179441105
183,0.065069734,0.181890476,0.351967263,0.178721446
184,0.06349364,0.18130922,0.351539218,0.179441105
185,0.063057245,0.182337404,0.347124429,0.178721446
186,0.063057245,0.18130922,0.343571159,0.174622674
187,0.063057245,0.180770594,0.343571159,0.174622674
188,0.062757334,0.180770594,0.343571159,0.174622674
189,0.062615108,0.18130922,0.34098325,0.171343194
190,0.062615108,0.176218359,0.34098325,0.171343194
191,0.057754079,0.17396245,0.337771214,0.171343194
192,0.057454169,0.17396245,0.337659177,0.171343194
193,0.055865815,0.168720574,0.327817956,0.171343194
194,0.055865815,0.168207839,0.325230048,0.168885563
195,0.055723589,0.166351978,0.325230048,0.16538462
196,0.053262896,0.166351978,0.321905974,0.16538462
197,0.054910018,0.162965963,0.319318066,0.164761366
198,0.053179439,0.16182009,0.319318066,0.161163336
199,0.052554724,0.161942603,0.319318066,0.162102824
200,0.050718745,0.162965963,0.319023077,0.161163336
201,0.048830482,0.160500364,0.319023077,0.161163336
202,0.048830482,0.155968476,0.319023077,0.158432853
203,0.048830482,0.155968476,0.314269149,0.15421157
204,0.048830482,0.154745972,0.312659501,0.15421157
205,0.048506281,0.151918855,0.312659501,0.154022196
206,0.046526655,0.151918855,0.312364511,0.15421157
207,0.046526655,0.151918855,0.311354015,0.153995224
208,0.044371928,0.151885356,0.3072727,0.14988902
209,0.044371928,0.148088633,0.306765654,0.145667736
210,0.044295742,0.145720256,0.304165158,0.145857111
211,0.044371928,0.144346551,0.304861016,0.143547825
212,0.043860844,0.145467358,0.304165158,0.143547825
213,0.04419292,0.140118712,0.304165158,0.143520854
214,0.041014735,0.141978174,0.302260521,0.143520854
215,0.040503651,0.140118712,0.300866561,0.14176304
216,0.04006714,0.140118712,0.300866561,0.139669826
217,0.04006714,0.13951848,0.294805042,0.139642854
218,0.038093165,0.138636889,0.290810587,0.13909191
219,0.03959591,0.138204487,0.290042204,0.13909191
220,0.037185424,0.137894477,0.285985095,0.138897978
221,0.037185424,0.136560265,0.285985095,0.13909191
222,0.034208103,0.13464604,0.284823328,0.13855251
223,0.034208103,0.133297842,0.283852229,0.137362686
224,0.034208103,0.133297842,0.279997836,0.129169393
225,0.033300362,0.130879969,0.279997836,0.129169393
226,0.033300362,0.127529719,0.279997836,0.130386189
227,0.033300362,0.127529719,0.279997836,0.128079049
228,0.031960619,0.127529719,0.278227145,0.131224122
229,0.031052878,0.12642584,0.277458762,0.127826154
230,0.031729829,0.127026072,0.274280888,0.128079049
231,0.029482346,0.123163417,0.273151107,0.12727521
232,0.030887248,0.121667596,0.270047655,0.126375252
233,0.029482346,0.12040279,0.269279273,0.125856078
234,0.029316715,0.117359343,0.267914789,0.124961912
235,0.029096721,0.117359343,0.266740198,0.117340266
236,0.028729949,0.115494305,0.265375715,0.117340266
237,0.027159416,0.117359343,0.265375715,0.117325774
238,0.027159416,0.112323132,0.265375715,0.116425816
239,0.026773792,0.112323132,0.261331429,0.116425816
240,0.024267095,0.112323132,0.259921664,0.116425816
241,0.024267095,0.110458094,0.255475913,0.114777087
242,0.024267095,0.108108816,0.255877377,0.111106057
243,0.022714205,0.108108816,0.252730483,0.111106057
244,0.022384704,0.108108816,0.24901326,0.109868953
245,0.020831814,0.10405132,0.24901326,0.108794365
246,0.020666184,0.10405132,0.244328777,0.108794365
247,0.020666184,0.10405132,0.244328777,0.10412816
248,0.020666184,0.10405132,0.244328777,0.10412816
249,0.020666184,0.103186941,0.244328777,0.101976606
250,0.020666184,0.10405132,0.244328777,0.099493198
251,0.019494764,0.103741616,0.244328777,0.099787014
252,0.019431926,0.101435662,0.242171975,0.099853755
253,0.019431926,0.098064058,0.240292446,0.098165898
254,0.018260506,0.100666476,0.23944088,0.098919662
255,0.018260506,0.098064058,0.235404549,0.098919662
256,0.018060465,0.095580572,0.235404549,0.098165898
257,0.018060465,0.097581407,0.229967377,0.098165898
258,0.016826207,0.095580572,0.234539673,0.096334306
259,0.015654787,0.095580572,0.229813825,0.096334306
260,0.015654787,0.095530469,0.224695499,0.096334306
261,0.01559258,0.095530469,0.224695499,0.088828863
262,0.014915179,0.093403758,0.224695499,0.088828863
263,0.014915179,0.091380438,0.223830623,0.091414219
264,0.014715722,0.093353655,0.223830623,0.087271389
265,0.013976114,0.08915352,0.223677072,0.086280191
266,0.013976114,0.08915352,0.22322355,0.082234009
267,0.013976114,0.08915352,0.222117408,0.083765889
268,0.013284236,0.08915352,0.22322355,0.083765889
269,0.013284236,0.086344666,0.218863397,0.083765889
270,0.013284236,0.086294563,0.218863397,0.082234009
271,0.013269117,0.086344666,0.217237896,0.082229477
272,0.011808544,0.084890534,0.211977979,0.081845087
273,0.011808544,0.082081679,0.213766691,0.080334268
274,0.011116666,0.082031576,0.208764933,0.080338801
275,0.011101547,0.081928756,0.208686497,0.080308675
276,0.010640576,0.081886952,0.207580355,0.079091676
277,0.010579325,0.080136609,0.207580355,0.077677703
278,0.01049069,0.080281233,0.202946494,0.07758539
279,0.01045155,0.080132256,0.202868057,0.076855466
280,0.010018185,0.079987631,0.202868057,0.077559796
281,0.010103029,0.07789175,0.201761915,0.076855466
282,0.0100146,0.07599243,0.198818129,0.072238567
283,0.009999275,0.075907112,0.198818129,0.071454819
284,0.009515759,0.07599243,0.197467048,0.071450287
285,0.009903215,0.073785679,0.19839818,0.071454819
286,0.009330982,0.073785679,0.19688249,0.069810258
287,0.008955843,0.073505634,0.194269815,0.065590163
288,0.009330982,0.072327662,0.194255833,0.064565633
289,0.007162168,0.070566528,0.19340859,0.064565633
290,0.007147049,0.070566528,0.189984629,0.064565633
291,0.007162168,0.070566528,0.188633106,0.063971196
292,0.007147049,0.0704124,0.189509466,0.063945602
293,0.006779521,0.068954384,0.188633106,0.060017574
294,0.007147049,0.068954384,0.187288497,0.062302135
295,0.006675767,0.067928644,0.182528148,0.063699406
296,0.006675767,0.067629892,0.182528148,0.059423138
297,0.006690886,0.06654121,0.181334435,0.059151348
298,0.006554248,0.064538595,0.181334435,0.059146815
299,0.006569367,0.063769077,0.176288756,0.058708949
300,0.006278637,0.063067808,0.175643435,0.058923472
301,0.006263518,0.062779431,0.174728666,0.058455479
302,0.006154965,0.06291368,0.173867441,0.058429886
303,0.005895331,0.05998383,0.175373987,0.058429886
304,0.006154965,0.059829702,0.1737375,0.058410341
305,0.005760757,0.05998383,0.1737375,0.055986606
306,0.005760757,0.056728118,0.171961506,0.053296745
307,0.005760757,0.058841446,0.171961506,0.053296745
308,0.003968342,0.056593869,0.171961506,0.052924371
309,0.003968342,0.055775035,0.16812514,0.05317784
310,0.003968342,0.055620907,0.167391158,0.053296745
311,0.003968342,0.055620907,0.16561482,0.052239351
312,0.003968342,0.055451485,0.16527787,0.047823032
313,0.002868484,0.055451485,0.16527787,0.047138012
314,0.003236672,0.055451485,0.16527787,0.046884506
315,0.002791782,0.055451485,0.159353912,0.047138012
316,0.002791782,0.055451485,0.162683913,0.046631036
317,0.002781636,0.053066032,0.163135752,0.046258661
318,0.002781636,0.053792271,0.160087894,0.041653402
319,0.002704934,0.051580936,0.160087894,0.041653402
320,0.002693765,0.051426808,0.159636055,0.041653402
321,0.002578706,0.050246938,0.153566261,0.041653402
322,0.002578706,0.049023174,0.156861227,0.041473201
323,0.002578706,0.047881474,0.152154288,0.041473201
324,0.001631779,0.046650059,0.151900585,0.041473201
325,0.001565859,0.046669165,0.151900585,0.038885215
326,0.001631779,0.046650059,0.150290892,0.041380725
